video_path,t_start,t_end,toy_in_environment,parent_holding_toy,child_holding_toy,child_hand_action,child_proximity_behavior,current_toy,adult_hand_action,child_pose,adult_pose
data/27_side_cut.mp4,341.0,344.0,yes,no,yes,holding toy still,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,344.0,347.0,yes,no,yes,holding toy still,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,347.0,350.0,yes,no,yes,holding toy still,close and facing toward adult,yellow toy,touching child,sitting still,sitting
data/27_side_cut.mp4,350.0,353.0,no,no,no,unknown,close and facing toward adult,yellow toy,touching child,sitting still,sitting
data/27_side_cut.mp4,353.0,356.0,no,no,no,unknown,close and facing toward adult,yellow toy,touching child,sitting still,sitting
data/27_side_cut.mp4,356.0,359.0,no,no,no,unknown,close and facing toward adult,yellow toy,touching child,sitting still,sitting
data/27_side_cut.mp4,359.0,362.0,no,no,no,unknown,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,362.0,365.0,no,no,no,unknown,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,365.0,368.0,no,no,no,unknown,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,368.0,371.0,no,no,no,unknown,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,371.0,374.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,374.0,377.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,377.0,380.0,yes,yes,yes,manipulating toy,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,380.0,383.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,383.0,386.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,386.0,389.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,389.0,392.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,392.0,395.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,395.0,398.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,398.0,401.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,401.0,404.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,404.0,407.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,407.0,410.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,410.0,413.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,413.0,416.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,416.0,419.0,yes,no,yes,manipulating toy,close and facing toward adult,yellow toy,resting,sitting still,sitting
data/27_side_cut.mp4,419.0,422.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,422.0,425.0,yes,no,yes,manipulating toy,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,425.0,428.0,yes,yes,yes,manipulating toy,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,428.0,431.0,yes,yes,no,manipulating toy,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,431.0,434.0,yes,yes,no,manipulating toy,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,434.0,437.0,yes,yes,no,manipulating toy,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,437.0,440.0,yes,yes,no,unknown,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,440.0,443.0,yes,yes,no,unknown,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,443.0,446.0,yes,yes,no,unknown,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,446.0,449.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,449.0,452.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,452.0,455.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,455.0,458.0,yes,yes,yes,manipulating toy,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,458.0,461.0,yes,yes,yes,manipulating toy,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,461.0,464.0,yes,yes,yes,manipulating toy,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,464.0,467.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,467.0,470.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,470.0,473.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,473.0,476.0,yes,yes,yes,manipulating toy,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,476.0,479.0,yes,yes,no,unknown,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,479.0,482.0,yes,yes,no,unknown,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,482.0,485.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,485.0,488.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,488.0,491.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,491.0,494.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,494.0,497.0,yes,yes,no,unknown,close and facing away,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,497.0,500.0,yes,yes,no,unknown,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,500.0,503.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,503.0,506.0,yes,no,yes,holding toy still,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,506.0,509.0,yes,no,yes,holding toy still,close and facing toward adult,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,509.0,512.0,yes,no,yes,holding toy still,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,512.0,515.0,no,no,no,unknown,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,515.0,518.0,no,no,no,unknown,close and facing away,yellow toy,unknown,sitting still,sitting
data/27_side_cut.mp4,518.0,521.0,no,no,no,unknown,close and facing away,yellow toy,unknown,sitting still,sitting
