video_path,t_start,t_end,toy_in_environment,parent_holding_toy,child_holding_toy,child_hand_action,child_proximity_behavior,current_toy,adult_hand_action,child_pose,adult_pose
data/28_side_cut.mp4,60.0,63.0,no,no,no,none,unknown,none,none,standing still,standing still
data/28_side_cut.mp4,63.0,66.0,no,no,no,none,not visible,none,none,standing still,sitting
data/28_side_cut.mp4,66.0,69.0,no,no,no,none,close and facing toward adult,none,none,standing still,sitting
data/28_side_cut.mp4,69.0,72.0,no,no,yes,holding toy still,close and facing toward adult,giraffe,resting,standing still,sitting
data/28_side_cut.mp4,72.0,75.0,no,no,no,none,close and facing toward adult,none,holding toy,standing still,sitting
data/28_side_cut.mp4,75.0,78.0,no,no,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,standing still,sitting
data/28_side_cut.mp4,78.0,81.0,no,no,no,none,close and facing toward adult,none,unknown,standing still,sitting
data/28_side_cut.mp4,81.0,84.0,no,no,yes,holding toy still,close and facing toward adult,giraffe,taking toy from child,standing still,sitting
data/27_side_cut.mp4,84.0,87.0,no,no,no,unknown,mid distance and facing toward adult,elephant,opening a box or bag,sitting still,sitting
data/27_side_cut.mp4,87.0,90.0,no,no,no,unknown,mid distance and facing toward adult,elephant,opening a box or bag,sitting still,sitting
data/27_side_cut.mp4,90.0,93.0,no,no,no,unknown,mid distance and facing toward adult,elephant,opening a box or bag,sitting still,sitting
data/27_side_cut.mp4,93.0,96.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,96.0,99.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,99.0,102.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,102.0,105.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,105.0,108.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,108.0,111.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,holding toy,sitting still,sitting
data/27_side_cut.mp4,111.0,114.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,holding toy,sitting still,sitting
data/27_side_cut.mp4,114.0,117.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,holding toy,sitting still,sitting
data/27_side_cut.mp4,120.0,123.0,no,no,no,unknown,mid distance and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,123.0,126.0,no,no,no,unknown,mid distance and facing away,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,126.0,129.0,no,no,no,unknown,mid distance and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,129.0,132.0,no,no,no,unknown,mid distance and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,132.0,135.0,yes,yes,no,unknown,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,135.0,138.0,yes,yes,yes,holding toy still,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,138.0,141.0,yes,yes,yes,holding toy still,mid distance and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,141.0,144.0,no,no,no,unknown,mid distance and facing away,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,144.0,147.0,no,no,no,unknown,mid distance and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,147.0,150.0,no,no,no,unknown,mid distance and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,150.0,153.0,no,no,no,unknown,mid distance and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,153.0,156.0,yes,no,yes,holding toy still,mid distance and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,156.0,159.0,yes,no,yes,holding toy still,mid distance and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,159.0,162.0,yes,no,yes,holding toy still,mid distance and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,162.0,165.0,yes,no,yes,holding toy still,close and facing away,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,165.0,168.0,yes,no,yes,holding toy still,close and facing away,elephant,touching child,walking,sitting
data/27_side_cut.mp4,168.0,171.0,yes,no,yes,holding toy still,close and facing toward adult,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,171.0,174.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,174.0,177.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,177.0,180.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,180.0,183.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,183.0,186.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,186.0,189.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,189.0,192.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,192.0,195.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,195.0,198.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,198.0,201.0,yes,yes,yes,holding toy still,close and facing away,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,201.0,204.0,yes,yes,yes,holding toy still,close and facing away,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,204.0,207.0,yes,no,yes,holding toy still,close and facing away,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,207.0,210.0,yes,no,yes,manipulating toy,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,210.0,213.0,yes,no,yes,manipulating toy,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,213.0,216.0,yes,no,yes,manipulating toy,close and facing toward adult,elephant,unknown,standing still,sitting
data/27_side_cut.mp4,216.0,219.0,yes,no,yes,manipulating toy,close and facing toward adult,elephant,unknown,standing still,sitting
data/27_side_cut.mp4,219.0,222.0,yes,yes,yes,manipulating toy,close and facing toward adult,elephant,manipulating toy,standing still,sitting
data/27_side_cut.mp4,222.0,225.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,standing still,sitting
data/27_side_cut.mp4,225.0,228.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,standing still,sitting
data/27_side_cut.mp4,228.0,231.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,231.0,234.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,234.0,237.0,yes,yes,no,unknown,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,237.0,240.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,manipulating toy,sitting still,sitting
data/27_side_cut.mp4,240.0,243.0,yes,no,yes,holding toy still,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,243.0,246.0,yes,no,yes,holding toy still,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,246.0,249.0,yes,no,yes,holding toy still,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,249.0,252.0,yes,no,yes,holding toy still,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,252.0,255.0,yes,no,yes,holding toy still,close and facing toward adult,elephant,unknown,sitting still,sitting
data/27_side_cut.mp4,255.0,258.0,yes,no,yes,holding toy still,close and facing away,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,258.0,261.0,no,no,no,unknown,close and facing away,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,261.0,264.0,no,no,no,unknown,close and facing away,elephant,touching child,sitting still,sitting
data/27_side_cut.mp4,264.0,267.0,no,no,no,unknown,close and facing away,elephant,touching child,sitting still,sitting
data/28_side_cut.mp4,267.0,270.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,holding toy,sitting still,sitting
data/28_side_cut.mp4,270.0,273.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,holding toy,sitting still,sitting
data/28_side_cut.mp4,273.0,276.0,yes,yes,yes,manipulating toy,close and facing toward adult,elephant,holding toy,sitting still,sitting
data/28_side_cut.mp4,276.0,279.0,yes,yes,yes,manipulating toy,close and facing toward adult,elephant,holding toy,sitting still,sitting
