video_path,t_start,t_end,child_hand_action,child_proximity_behavior,current_toy,adult_hand_action,pose,child_body_orientation_action,interaction_flow
data/6_side.mp4,60.0,63.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,63.0,66.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,66.0,69.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,69.0,72.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,72.0,75.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,75.0,78.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,78.0,81.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,81.0,84.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,84.0,87.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,87.0,90.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,90.0,93.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,93.0,96.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,96.0,99.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,99.0,102.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,102.0,105.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,105.0,108.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,108.0,111.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,111.0,114.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,114.0,117.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,117.0,120.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,120.0,123.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,123.0,126.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,126.0,129.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,129.0,132.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,132.0,135.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,135.0,138.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,138.0,141.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,141.0,144.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,144.0,147.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,147.0,150.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,150.0,153.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,153.0,156.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,156.0,159.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,159.0,162.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,162.0,165.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,165.0,168.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,168.0,171.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,171.0,174.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,174.0,177.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,177.0,180.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,180.0,183.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,183.0,186.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,186.0,189.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,189.0,192.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,192.0,195.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,195.0,198.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,198.0,201.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,201.0,204.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,204.0,207.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,207.0,210.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,210.0,213.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/6_side.mp4,213.0,216.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown
